local_path,description,size_bytes,sha256
runs/010_length_rank/after.csv,本版結果快照,628,0446285977a0b3997d85f5c54f30d19fdaa43d570c8144e5caea7dfba5401981
runs/010_length_rank/analysis_state.rds,R 中間物件,726,4dcb1d2222360256761506d42b350488105196c4396428c38e619d6e93c88c83
runs/010_length_rank/before.csv,上一版結果快照,602,487f429fc2c5cc302b74f40393c2d5a1d1929ce36710b51fca45b0b03aec888b
runs/010_length_rank/calculate_gc.R,本版程式快照,3987,5ff8ba461a6ca04be2496d63df460ef3a08e13b178161a013ee695b660acd478
runs/010_length_rank/input.fasta,輸入快照,607,89ceb887f1a5c742c5a3c77e0d08f62d55cd834c88e60c2b79eb178f08cfab44
runs/010_length_rank/parsed_sequences.csv,解析序列中間表,649,91bb70a500d4285c374eef8f3e469d8e651c3f65606f32e0eac2ab101ca34658
runs/010_length_rank/run.log,執行輸出,1237,5d0bda0460e5946b9d1493fc70d8c2afd5313dc8bbc4826940e8e7fec2264631
runs/010_length_rank/session_info.txt,R 執行環境,584,f0381e5a0df1119aae629d029b7a68d4228e57dfba30c95f0d0f93fd08753cd8
runs/010_length_rank/validation.txt,驗證摘要,135,510bd8520cab1babce37186e82018cae29d8bd9af78acc38d32afd578f9b48e3
